year,round,pick,player,position,school
2003,1,28,"Barbosa, Leandro",,
2003,1,29,"Howard, Josh",,
2003,2,30,"Lampe, Maciej",,
2003,2,31,"Kapono, Jason",,
2003,2,32,"Walton, Luke",,
2003,2,33,"Beasley, Jerome",,
2003,2,34,"Schortsanitis, Sofoklis",,
2003,2,35,"Szewczyk, Szymon",,
2003,2,36,"Austin, Mario",,
2003,2,37,"Hansen, Travis",,
2003,2,38,"Blake, Steve",,
2003,2,39,"Vranes, Slavko",,
2003,2,40,"Zimmerman, Derrick",,
2003,2,41,"Green, Willie",,
2003,2,42,"Pachulia, Zaza",,
2003,2,43,"Bogans, Keith",,
2003,2,44,"Badiane, Malick",,
2003,2,45,"Bonner, Matt",,
2003,2,46,"Becirovic, Sani",,
2003,2,47,"Williams, Mo",,
2003,2,48,"Lang, James",,
2003,2,49,"Jones, James",,
2003,2,50,"Morlende, Paccelis",,
2003,2,51,"Korver, Kyle",,
2003,2,52,"van de Hare, Remon",,
2003,2,53,"Smith, Tommy",,
2003,2,54,"Sinanovic, Nedzad",,
2003,2,55,"Rickert, Rick",,
2003,2,56,"Hunter, Brandon",,
2003,2,57,"Yuyang, Xue",,
2003,2,58,"Glyniadakis, Andreas",,
2004,1,1,"Howard, Dwight",,
2004,1,2,"Okafor, Emeka",,
2004,1,3,"Gordon, Ben",,
2004,1,4,"Livingston, Shaun",,
2004,1,5,"Harris, Devin",,
2004,1,6,"Childress, Josh",,
2004,1,7,"Deng, Luol",,
2004,1,8,"Araujo, Rafael",,
2004,1,9,"Iguodala, Andre",,
2004,1,10,"Jackson, Luke",,
2004,1,11,"Biedrins, Andris",,
2004,1,12,"Swift, Robert",,
2004,1,13,"Telfair, Sebastian",,
2004,1,14,"Humphries, Kris",,
2004,1,15,"Jefferson, Al",,
2004,1,16,"Snyder, Kirk",,
2004,1,17,"Smith, Josh",,
2004,1,18,"Smith, J. R.",,
2004,1,19,"Wright, Dorell",,
2004,1,20,"Nelson, Jameer",,
2004,1,21,"Podkolzin, Pavel",,
2004,1,22,"Khryapa, Viktor",,
2004,1,23,"Monia, Sergei",,
2004,1,24,"West, Delonte",,
2004,1,25,"Allen, Tony",,
2004,1,26,"Martin, Kevin",,
2004,1,27,"Vujacic, Sasha",,
2004,1,28,"Udrih, Beno",,
2004,1,29,"Harrison, David",,
2004,2,30,"Varejao, Anderson",,
2004,2,31,"Vroman, Jackson",,
2004,2,32,"Ramos, Peter John",,
2004,2,33,"Chalmers, Lionel",,
2004,2,34,"Smith, Donta",,
2004,2,35,"Emmett, Andre",,
2004,2,36,"Burks, Antonio",,
2004,2,37,"Ivey, Royal",,
2004,2,38,"Duhon, Chris",,
2004,2,39,"Miralles, Albert",,
2004,2,40,"Reed, Justin",,
2004,2,41,"Young, David",,
2004,2,42,"Sanikidze, Viktor",,
2004,2,43,"Ariza, Trevor",,
2004,2,44,"Pickett, Tim",,
2004,2,45,"Robinson, Bernard",,
2004,2,46,"Seung-Jin, Ha",,
2004,2,47,"Sow, Pape",,
2004,2,48,"Minard, Ricky",,
2004,2,49,"Lishouk, Sergei",,
2004,2,50,"Spanoulis, Vassilis",,
2004,2,51,"Drejer, Christian",,
2004,2,52,"Sato, Romain",,
2004,2,53,"Freije, Matt",,
2004,2,54,"Paulding, Rickey",,
2004,2,55,"Flores, Luis",,
2004,2,56,"Douthit, Marcus",,
2004,2,57,"Karaulov, Sergei",,
2004,2,58,"Stepp, Blake",,
2004,2,59,"Wright, Rashad",,
2005,1,1,"Bogut, Andrew",,
2005,1,2,"Williams, Marvin",,
2005,1,3,"Williams, Deron",,
2005,1,4,"Paul, Chris",,
2005,1,5,"Felton, Raymond",,
2005,1,6,"Webster, Martell",,
2005,1,7,"Villanueva, Charlie",,
2005,1,8,"Frye, Channing",,
2005,1,9,"Diogu, Ike",,
2005,1,10,"Bynum, Andrew",,
2005,1,11,"Vazquez, Fran",,
2005,1,12,"Korolev, Yaroslav",,
2005,1,13,"May, Sean",,
2005,1,14,"McCants, Rashad",,
2005,1,15,"Wright, Antoine",,
2005,1,16,"Graham, Joey",,
2005,1,17,"Granger, Danny",,
2005,1,18,"Green, Gerald",,
2005,1,19,"Warrick, Hakim",,
2005,1,20,"Hodge, Julius",,
2005,1,21,"Robinson, Nate",,
2005,1,22,"Jack, Jarrett",,
2005,1,23,"Garcia, Francisco",,
2005,1,24,"Head, Luther",,
2005,1,25,"Petro, Johan",,
2005,1,26,"Maxiell, Jason",,
2005,1,27,"Kleiza, Linas",,
2005,1,28,"Mahinmi, Ian",,
2005,1,29,"Simien, Wayne",,
2005,1,30,"Lee, David",,
2005,2,31,"Stoudamire, Salim",,
2005,2,32,"Ewing, Daniel",,
2005,2,33,"Bass, Brandon",,
2005,2,34,"Miles, C. J.",,
2005,2,35,"Sanchez, Ricky",,
2005,2,36,"Ilyasova, Ersan",,
2005,2,37,"Turiaf, Ronny",,
2005,2,38,"Diener, Travis",,
2005,2,39,"Wafer, Von",,
2005,2,40,"Ellis, Monta",,
2005,2,41,"Ukic, Roko",,
2005,2,42,"Taft, Chris",,
2005,2,43,"Ilic, Mile",,
2005,2,44,"Andriuskevicius, Martynas",,
2005,2,45,"Williams, Louis",,
2005,2,46,"Lorbek, Erazem",,
2005,2,47,"Wright, Bracey",,
2005,2,48,"Gelabale, Mickael",,
2005,2,49,"Blatche, Andray",,
2005,2,50,"Gomes, Ryan",,
2005,2,51,"Whaley, Robert",,
2005,2,52,"Hervelle, Axel",,
2005,2,53,"Greene, Orien",,
2005,2,54,"Thompson, Dijon",,
2005,2,55,"Roberts, Lawrence",,
2005,2,56,"Johnson, Amir",,
2005,2,57,"Gortat, Marcin",,
2005,2,58,"Slokar, Uros",,
2005,2,59,"Akyol, Cenk",,
2005,2,60,"Acker, Alex",,
2006,1,1,"Bargnani, Andrea",,
2006,1,2,"Aldridge, LaMarcus",,
2006,1,3,"Morrison, Adam",,
2006,1,4,"Thomas, Tyrus",,
2006,1,5,"Williams, Shelden",,
2006,1,6,"Roy, Brandon",,
2006,1,7,"Foye, Randy",,
2006,1,8,"Gay, Rudy",,
2006,1,9,"O'Bryant, Patrick",,
2006,1,10,"Sene, Mouhamed",,
2006,1,11,"Redick, J. J.",,
2006,1,12,"Armstrong, Hilton",,
2006,1,13,"Sefolosha, Thabo",,
2006,1,14,"Brewer, Ronnie",,
2006,1,15,"Simmons, Cedric",,
2006,1,16,"Carney, Rodney",,
2006,1,17,"Williams, Shawne",,
2006,1,18,"Pecherov, Oleksiy",,
2006,1,19,"Douby, Quincy",,
2006,1,20,"Balkman, Renaldo",,
2006,1,21,"Rondo, Rajon",,
2006,1,22,"Williams, Marcus",,
2006,1,23,"Boone, Josh",,
2006,1,24,"Lowry, Kyle",,
2006,1,25,"Brown, Shannon",,
2006,1,26,"Farmar, Jordan",,
2006,1,27,"Rodriguez, Sergio",,
2006,1,28,"Ager, Maurice",,
2006,1,29,"Collins, Mardy",,
2006,1,30,"Freeland, Joel",,
2006,2,31,"White, James",,
2006,2,32,"Novak, Steve",,
2006,2,33,"Jones, Solomon",,
2006,2,34,"Davis, Paul",,
2006,2,35,"Tucker, P.J.",,
2006,2,36,"Smith, Craig",,
2006,2,37,"Jones, Bobby",,
2006,2,38,"Perovic, Kosta",,
2006,2,39,"Noel, David",,
2006,2,40,"Brown, Denham",,
2006,2,41,"Augustine, James",,
2006,2,42,"Gibson, Daniel",,
2006,2,43,"Vinicius, Marcus",,
2006,2,44,"Eliyahu, Lior",,
2006,2,45,"Johnson, Alexander",,
2006,2,46,"Brown, Dee",,
2006,2,47,"Millsap, Paul",,
2006,2,48,"Veremeenko, Vladimir",,
2006,2,49,"Powe, Leon",,
2006,2,50,"Hollins, Ryan",,
2006,2,51,"Samb, Cheikh",,
2006,2,52,"Diaz, Guillermo",,
2006,2,53,"Halperin, Yotam",,
2006,2,54,"Adams, Hassan",,
2006,2,55,"Ugboaja, Ejike",,
2006,2,56,"Bavcic, Edin",,
2006,2,57,"Mavrokefalidis, Loukas",,
2006,2,58,"Pinnock, J. R.",,
2006,2,59,"Markota, Damir",,
2006,2,60,"Blalock, Will",,
2007,1,1,"Oden, Greg",,
2007,1,2,"Durant, Kevin",,
2007,1,3,"Horford, Al",,
2007,1,4,"Conley, Mike",,
2007,1,5,"Green, Jeff",,
2007,1,6,"Yi, Jianlian",,
2007,1,7,"Brewer, Corey",,
2007,1,8,"Wright, Brandan",,
2007,1,9,"Noah, Joakim",,
2007,1,10,"Hawes, Spencer",,
2007,1,11,"Law, Acie",,
2007,1,12,"Young, Thaddeus",,
2007,1,13,"Wright, Julian",,
2007,1,14,"Thornton, Al",,
2007,1,15,"Stuckey, Rodney",,
2007,1,16,"Young, Nick",,
2007,1,17,"Williams, Sean",,
2007,1,18,"Belinelli, Marco",,
2007,1,19,"Crittenton, Javaris",,
2007,1,20,"Smith, Jason",,
2007,1,21,"Cook, Daequan",,
2007,1,22,"Dudley, Jared",,
2007,1,23,"Chandler, Wilson",,
2007,1,24,"Fernandez, Rudy",,
2007,1,25,"Almond, Morris",,
2007,1,26,"Brooks, Aaron",,
2007,1,27,"Afflalo, Arron",,
2007,1,28,"Splitter, Tiago",,
2007,1,29,"Tucker, Alando",,
2007,1,30,"Koponen, Petteri",,
2007,2,31,"Landry, Carl",,
2007,2,32,"Pruitt, Gabe",,
2007,2,33,"Williams, Marcus",,
2007,2,34,"Fazekas, Nick",,
2007,2,35,"Davis, Glen",,
2007,2,36,"Davidson, Jermareo",,
2007,2,37,"McRoberts, Josh",,
2007,2,38,"Fesenko, Kyrylo",,
2007,2,39,"Barac, Stanko",,
2007,2,40,"Sun, Yue",,
2007,2,41,"Richard, Chris",,
2007,2,42,"Byars, Derrick",,
2007,2,43,"Haluska, Adam",,
2007,2,44,"Terry, Reyshawn",,
2007,2,45,"Jordan, Jared",,
2007,2,46,"Lasme, Stephane",,
2007,2,47,"McGuire, Dominic",,
2007,2,48,"Gasol, Marc",,
2007,2,49,"Gray, Aaron",,
2007,2,50,"Seibutis, Renaldas",,
2007,2,51,"Curry, JamesOn",,
2007,2,52,"Green, Taurean",,
2007,2,53,"Nichols, Demetris",,
2007,2,54,"Newley, Brad",,
2007,2,55,"Hill, Herbert",,
2007,2,56,"Sessions, Ramon",,
2007,2,57,"Mejia, Sammy",,
2007,2,58,"Printezis, Giorgos",,
2007,2,59,"Strawberry, D.J.",,
2007,2,60,"Rakovic, Milovan",,
2008,1,1,"Rose, Derrick",,
2008,1,2,"Beasley, Michael",,
2008,1,3,"Mayo, O. J.",,
2008,1,4,"Westbrook, Russell",,
2008,1,5,"Love, Kevin",,
2008,1,6,"Gallinari, Danilo",,
2008,1,7,"Gordon, Eric",,
2008,1,8,"Alexander, Joe",,
2008,1,9,"Augustin, D. J.",,
2008,1,10,"Lopez, Brook",,
2008,1,11,"Bayless, Jerryd",,
2008,1,12,"Thompson, Jason",,
2008,1,13,"Rush, Brandon",,
2008,1,14,"Randolph, Anthony",,
2008,1,15,"Lopez, Robin",,
2008,1,16,"Speights, Marreese",,
2008,1,17,"Hibbert, Roy",,
