field1,Game_id,Person_id,Team_id,First_Name,Last_Name,minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,Three_Pointers,Three_Pointers_Attempted,Three_Point_Percentage,Free_Throws,Free_Throws_Attempted,Free_Throw_Percentage,Offensive_Rebounds,Defensive_Rebounds,Assists,Personal_Fouls,Steals,Turnovers,Blocked_Shots,Points,location,outcome,season_id,vs_team_id,league_id,Technical_Fouls,Flagrant_Fouls,Ejections,Points_In_Paint,Fast_Break_Points,Triple_Doubles,Double_Doubles,actual_minutes,actual_seconds,Plus_Minus,Blocks_Against,PTS_OFF_TO,Second_Chance_PTS,Total_Rebounds,points_per_36,rebounds_per_36,assists_per_36,steals_per_36,blocks_per_36
1002,20300049,2397,1610612745,Ming,Yao,37,4,10,0.4,0,0,0,2,3,0.667,0,11,1,2,0,4,1,10,A,W,2003,1610612751,0,0,0,0,2,0,0,1,36,51,8,0,2,2,11,9.72972973,10.7027027,0.972972973,0,0
1003,20300049,2411,1610612745,Bostjan,Nachbar,6,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,A,W,2003,1610612751,0,0,0,0,0,0,0,0,6,4,1,0,0,0,1,0,6,6,0,0
1020,20300050,2409,1610612749,Marcus,Haislip,2,1,1,1,0,0,0,2,3,0.667,1,0,0,0,1,0,0,4,H,L,2003,1610612747,0,0,0,0,2,3,0,0,2,3,1,0,3,1,1,72,18,0,18,0
1021,20300050,2416,1610612747,Kareem,Rush,8,1,2,0.5,1,2,0.5,0,2,0,0,0,0,3,0,0,0,3,A,W,2003,1610612749,0,0,0,0,0,0,0,0,8,16,-6,0,0,0,0,13.5,0,0,0,0
1022,20300050,2429,1610612749,Dan,Gadzuric,19,0,4,0,0,0,0,1,2,0.5,0,2,0,3,2,0,3,1,H,L,2003,1610612747,0,0,0,0,0,0,0,0,18,57,3,1,0,0,2,1.894736842,3.789473684,0,3.789473684,1.894736842
1038,20300051,1938,1610612759,Manu,Ginobili,32,4,13,0.308,3,5,0.6,4,4,1,2,6,5,1,2,1,1,15,H,W,2003,1610612748,0,0,0,0,2,5,0,0,32,28,14,1,0,2,8,16.875,9,5.625,2.25,1.125
1062,20300052,2422,1610612755,John,Salmons,9,1,3,0.333,0,0,0,0,0,0,0,1,0,1,1,0,1,2,H,L,2003,1610612740,0,0,0,0,0,0,0,0,8,50,-5,1,0,0,1,8,4,0,4,4
1082,20300053,2407,1610612764,Jared,Jeffries,19,2,7,0.286,0,1,0,2,2,1,1,4,3,1,0,0,1,6,H,W,2003,1610612742,0,0,0,0,2,0,0,0,19,0,6,1,4,4,5,11.36842105,9.473684211,5.684210526,0,1.894736842
1083,20300053,2413,1610612764,Juan,Dixon,14,5,10,0.5,1,4,0.25,0,1,0,0,3,2,0,1,0,0,11,H,W,2003,1610612742,0,0,0,0,6,4,0,0,14,0,-2,1,9,0,3,28.28571429,7.714285714,5.142857143,2.571428571,2.571428571
1105,20300054,2437,1610612741,Lonny,Baxter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,W,2003,1610612753,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,0,0,0
1125,20300055,2409,1610612749,Marcus,Haislip,8,3,5,0.6,0,0,0,1,1,1,1,1,0,1,0,0,1,7,A,W,2003,1610612752,0,0,0,0,6,0,0,0,8,0,8,1,2,2,2,31.5,9,0,0,4.5
1126,20300055,2421,1610612752,Frank,Williams,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,H,L,2003,1610612749,0,0,0,0,0,0,0,0,4,0,-5,0,0,0,0,0,0,0,0,0
