year,round,pick,player,position,school
2001,1,14,"Murphy, Troy",PF,Notre Dame
2001,1,15,"Hunter, Steven",C,DePaul
2001,1,16,"Haston, Kirk",PF,Indiana
2001,1,17,"Bradley, Michael",PF,Villanova
2001,1,18,"Collins, Jason",C,Stanford
2001,1,19,"Randolph, Zach",PF,Michigan State
2001,1,20,"Haywood, Brendan",C,North Carolina
2001,1,21,"Forte, Joseph",SG,North Carolina
2001,1,22,"Sasser, Jeryl",SG,SMU
2001,1,23,"Armstrong, Brandon",SG,Pepperdine
2001,1,24,"L¨®pez, Ra¨²l",PG,Real Madrid
2001,1,25,"Wallace, Gerald",SF,Alabama
2001,1,26,"Dalembert, Samuel",C,Seton Hall
2001,1,27,"Tinsley, Jamaal",PG,Iowa State
2001,1,28,"Parker, Tony",PG,Paris Basket Racing
2001,1,29,Forfeited pick,None,None
2001,2,30,"Hassell, Trenton",SG,Austin Peay
2001,2,31,"Arenas, Gilbert",PG,Arizona
2001,2,32,"Cook, Omar",PG,St. John's
2001,2,33,"Solomon, Will",PG,Clemson
2001,2,34,"Morris, Terence",SF,Maryland
2001,2,35,"Scalabrine, Brian",PF,USC
2001,2,36,"Trepagnier, Jeff",SG,USC
2001,2,37,"Brown, Damone",SF,Syracuse
2001,2,38,"Okur, Mehmet",C,Efes Pilsen
2001,2,39,"Wright, Michael",PF,Arizona
2001,2,40,"Watson, Earl",PG,UCLA
2001,2,41,"Brewer, Jamison",PG,Auburn
2001,2,42,"Simmons, Bobby",F/G,DePaul
2001,2,43,"Chenowith, Eric",C,Kansas
2001,2,44,"Hill, Kyle",PG,Eastern Illinois
2001,2,45,"Lampley, Sean",SF,California
2001,2,46,"Woods, Loren",C,Arizona
2001,2,47,"Cisse, Ousmane",PF,St. Jude HS
2001,2,48,"Fotsis, Antonis",SF,Panathinaikos
2001,2,49,"Johnson, Ken",C,Ohio State
2001,2,50,"Boumtje-Boumtje, Ruben",C,Georgetown
2001,2,51,"Ford, Alton",PF,Houston
2001,2,52,"Hutson, Andre",PF,Michigan State
2001,2,53,"Collins, Jarron",F/C,Stanford
2001,2,54,"Satterfield, Kenny",PG,Cincinnati
2001,2,55,"Jeffers, Maurice",SG,Saint Louis
2001,2,56,"Javtokas, Robertas",C,Lietuvos rytas Vilnius
2001,2,57,"Jones, Alvin",C,Georgia Tech
2001,2,58,"Bracey, Bryan",SF,Oregon
2002,1,1,"Ming, Yao",C,Shanghai Sharks
2002,1,2,"Williams, Jay",PG,Duke
2002,1,3,"Dunleavy Jr., Mike",SF/SG,Duke
2002,1,4,"Gooden, Drew",PF/C,Kansas
2002,1,5,"Tskitishvili, Nikoloz",PF/C,Benetton Treviso
2002,1,6,"Wagner, Dajuan",PG,Memphis
2002,1,7,", Nen¨º",C/PF,Vasco da Gama
2002,1,8,"Wilcox, Chris",PF/C,Maryland
2002,1,9,"Stoudemire, Amar'e",PF/C,Cypress Creek HS
2002,1,10,"Butler, Caron",SF,Connecticut
2002,1,11,"Jeffries, Jared",PF/C,Indiana
2002,1,12,"Ely, Melvin",C/PF,Fresno State
2002,1,13,"Haislip, Marcus",PF,Tennessee
2002,1,14,"Jones, Fred",SG,Oregon
2002,1,15,"Nachbar, Bo?tjan",SF/PF,Benetton Treviso
2002,1,16,"Welsch, Ji?¨ª",SG/SF,Union Olimpija
2002,1,17,"Dixon, Juan",PG,Maryland
2002,1,18,"Borchardt, Curtis",C,Stanford
2002,1,19,"Humphrey, Ryan",PF,Notre Dame
2002,1,20,"Rush, Kareem",SG,Missouri
2002,1,21,"Woods, Qyntel",SF,Northeast Mississippi CC
2002,1,22,"Jacobsen, Casey",SG,Stanford
2002,1,23,"Prince, Tayshaun",SF,Kentucky
2002,1,24,"Krsti?, Nenad",C/PF,Partizan Belgrade
2002,1,25,"Williams, Frank",PG,Illinois
2002,1,26,"Salmons, John",SF/SG,Miami
2002,1,27,"Jefferies, Chris",SF,Fresno State
2002,1,28,"Dickau, Dan",PG,Gonzaga
2002,1,29,Forfeited pick,None,None
2002,2,30,"Logan, Steve",PG,Cincinnati
2002,2,31,"Mason, Jr., Roger",SG,Virginia
2002,2,32,"Archibald, Robert",PF,Illinois
2002,2,33,"Yarbrough, Vincent",SF,Tennessee
2002,2,34,"Gadzuric, Dan",C,UCLA
2002,2,35,"Boozer, Carlos",PF,Duke
2002,2,36,"Vujani?, Milo?",PG,Partizan Belgrade
2002,2,37,"Andersen, David",C,Virtus Bologna
2002,2,38,"Maddox, Tito",PG,Fresno State
2002,2,39,"Grizzard, Rod",SG,Alabama
2002,2,40,"Navarro, Juan Carlos",PG,FC Barcelona
2002,2,41,"Kasun, Mario",C,Opel Skyliners
2002,2,42,"Murray, Ronald",SG,Shaw
2002,2,43,"Jennings, Jason",C,Arkansas State
2002,2,44,"Baxter, Lonny",PF,Maryland
2002,2,45,"Clancy, Sam",PF,USC
2002,2,46,"Barnes, Matt",SF,UCLA
2002,2,47,"Sampson, Jamal",C,California
2002,2,48,"Owens, Chris",PF,Texas
2002,2,49,"Fehse, Peter",PF,Halle
2002,2,50,"Songaila, Darius",PF,Wake Forest
2002,2,51,"Kammerichs, Federico",SF,Ourense
2002,2,52,"Taylor, Marcus",PG,Michigan State
2002,2,53,"Butler, Rasual",SF,La Salle
2002,2,54,"Slay, Tamar",SG,Marshall
2002,2,55,"?ekularac, Mladen",SG,FMP ?eleznik
2002,2,56,"Scola, Luis",PF,TAU Cer¨¢mica
2002,2,57,"Holcomb, Randy",PF,San Diego State
2002,2,58,"Edwards, Corsley",PF,Central Connecticut
2003,1,1,", LeBron James",SF,St. Vincent¨CSt. Mary HS
2003,1,2,"Mili?i?, Darko",C,Hemofarm Vr?ac
2003,1,3,"Anthony, Carmelo",SF,Syracuse
2003,1,4,"Bosh, Chris",PF/C,Georgia Tech
2003,1,5,"Wade, Dwyane",SG,Marquette
2003,1,6,"Kaman, Chris",C,Central Michigan
2003,1,7,"Hinrich, Kirk",PG,Kansas
2003,1,8,"Ford, T. J.",PG,Texas
2003,1,9,"Sweetney, Michael",PF,Georgetown
2003,1,10,"Hayes, Jarvis",F/G,Georgia
2003,1,11,"Pi¨¦trus, Micka?l",G/F,Pau-Orthez
2003,1,12,"Collison, Nick",PF,Kansas
2003,1,13,"Banks, Marcus",PG,UNLV
2003,1,14,"Ridnour, Luke",PG,Oregon
2003,1,15,"Gaines, Reece",F/G,Louisville
2003,1,16,"Bell, Troy",PG,Boston College
2003,1,17,"?abarkapa, ?arko",SF,Budu?nost Podgorica
2003,1,18,"West, David",PF,Xavier
2003,1,19,"Pavlovi?, Sasha",F/G,Budu?nost Podgorica
2003,1,20,"Jones, Dahntay",SG,Duke
2003,1,21,"Diaw, Boris",PF,Pau-Orthez
2003,1,22,"Planini?, Zoran",G/F,Cibona Zagreb
2003,1,23,"Outlaw, Travis",SF,Starkville HS
2003,1,24,"Cook, Brian",PF,Illinois
2003,1,25,"Delfino, Carlos",SG,Skipper Bologna
2003,1,26,"Ebi, Ndudi",SF,Westbury Christian HS
2003,1,27,"Perkins, Kendrick",C,Ozen HS 
