year	round	pick	player	position	school
1985	1	2	"Tisdale, Wayman"	PF	Oklahoma
1985	1	3	"Benjamin, Benoit"	C	Creighton
1985	1	4	"McDaniel, Xavier"	PF	Wichita State
1985	1	5	"Koncak, Jon"	C	SMU
1985	1	6	"Kleine, Joe"	C	Arkansas
1985	1	7	"Mullin, Chris"	SF	St. John's
1985	1	8	"Schrempf, Detlef"	SF/PF	Washington
1985	1	9	"Oakley, Charles"	PF	Virginia Union
1985	1	10	"Pinckney, Ed"	PF	Villanova
1985	1	11	"Lee, Keith"	C	Memphis State
1985	1	12	"Green, Kenny"	F	Wake Forest
1985	1	13	"Malone, Karl"	PF	Louisiana Tech
1985	1	14	"Hughes, Alfredrick"	SG	Loyola (IL)
1985	1	15	"Rasmussen, Blair"	C	Oregon
1985	1	16	"Wennington, Bill"	C	St. John's
1985	1	17	"Blab, Uwe"	C	Indiana
1985	1	18	"Dumars, Joe"	SG	McNeese State
1985	1	19	"Harris, Steve"	SG	Tulsa
1985	1	20	"Vincent, Sam"	SG	Michigan State
1985	1	21	"Catledge, Terry"	PF	South Alabama
1985	1	22	"Reynolds, Jerry"	G/F	LSU
1985	1	23	"Green, A. C."	SF/PF	Oregon State
1985	1	24	"Porter, Terry"	PG	Wisconsin¨CStevens Point
1985	2	25	"Smrek, Mike"	C	Canisius
1985	2	26	"Martin, Bill"	F	Georgetown
1985	2	27	"McClain, Dwayne"	SG	Villanova
1985	2	28	"Johnson, Ken"	F	Michigan State
1985	2	29	"Brittain, Mike"	C	South Carolina
1985	2	30	"Duncan, Calvin"	G	VCU
1985	2	31	"Bol, Manute"	C	Bridgeport
1985	2	32	"Vanos, Nick"	C	Santa Clara
1985	2	33	"Stokes, Greg"	F/C	Iowa
1985	2	34	"Sherrod, Aubrey"	SG	Wichita State
1985	2	35	"Corbin, Tyrone"	SF/PF	DePaul
1985	2	36	"Joseph, Yvon"	C	Georgia Tech
1985	2	37	"Scurry, Carey"	F	LIU Brooklyn
1985	2	38	"Mart¨ªn, Fernando"	PF	Real Madrid
1985	2	39	"Montgomery, George"	F	Illinois
1985	2	40	"Acres, Mark"	F/C	Oral Roberts
1985	2	41	"Charles, Lorenzo"	PF	NC State
1985	2	42	"Hurt, Bobby Lee"	C/F	Alabama
1985	2	43	"Stevens, Barry"	G/F	Iowa State
1985	2	44	"Winters, Voise"	SG	Bradley
1985	2	45	"Williams, John ""Hot Rod"""	PF	Tulane
1985	2	46	"Branch, Adrian"	SF	Maryland
1985	2	47	"Wilkins, Gerald"	SG	Chattanooga
1986	1	1	"Daugherty, Brad"	C	North Carolina
1986	1	2	"Bias, Len"	SF	Maryland
1986	1	3	"Washburn, Chris"	C	NC State
1986	1	4	"Person, Chuck"	SF	Auburn
1986	1	5	"Walker, Kenny"	SF	Kentucky
1986	1	6	"Bedford, William"	C	Memphis State
1986	1	7	"Tarpley, Roy"	C	Michigan
1986	1	8	"Harper, Ron"	SF	Miami (OH)
1986	1	9	"Sellers, Brad"	C	Ohio State
1986	1	10	"Dawkins, Johnny"	PG	Duke
1986	1	11	"Salley, John"	PF	Georgia Tech
1986	1	12	"Williams, John"	PF	LSU
1986	1	13	"Washington, Dwayne"	PG	Syracuse
1986	1	14	"Berry, Walter"	SF/PF	St. John's
1986	1	15	"Curry, Dell"	SG/SF	Virginia Tech
1986	1	16	"Martin, Maurice"	SF	Saint Joseph's
1986	1	17	"Pressley, Harold"	SF	Villanova
1986	1	18	"Alarie, Mark"	PF	Duke
1986	1	19	"Thompson, Billy"	SF	Louisville
1986	1	20	"Johnson, Buck"	SF	Alabama
1986	1	21	"Jones, Anthony"	SF	UNLV
1986	1	22	"Skiles, Scott"	PG	Michigan State
1986	1	23	"Barlow, Ken"	PF	Notre Dame
1986	1	24	"Sabonis, Arvydas"	C	Zalgiris
1986	2	25	"Price, Mark"	PG	Georgia Tech
1986	2	26	"Dreiling, Greg"	C	Kansas
1986	2	27	"Rodman, Dennis"	PF	Southeastern Oklahoma State
1986	2	28	"Krystkowiak, Larry"	PF	Montana
1986	2	29	"Newman, Johnny"	SF	Richmond
1986	2	30	"McMillan, Nate"	PG	NC State
1986	2	31	"Ward, Joe"	SF	Georgia
1986	2	32	"Henderson, Cedric"	PF	Georgia
1986	2	33	"Duckworth, Kevin"	C	Eastern Illinois
1986	2	34	"Rogers, Johnny"	PF	UC Irvine
1986	2	35	"Wagner, Milt"	SG	Louisville
1986	2	36	"Mitchell, Steve"	PG	UAB
1986	2	37	"Fasoulas, Panagiotis"	C	NC State
1986	2	38	"Lampley, Lemone"	C	DePaul
1986	2	39	"Addison, Rafael"	SF	Syracuse
1986	2	40	"Binelli, Augusto"	C	Virtus Bologna
1986	2	41	"Smith, Otis"	SG	Jacksonville
1986	2	42	"Kellogg, Ron"	SF	Kansas
1986	2	43	"Feitl, Dave"	C	UTEP
1986	2	44	"Wingate, David"	SG	Georgetown
1986	2	45	"Smith, Keith"	PG	Loyola Marymount
1986	2	46	"Hornacek, Jeff"	SG	Iowa State
1986	2	47	"Jackson, Michael"	PG	Georgetown
1987	1	1	"Robinson, David"	C	Navy
1987	1	2	"Gilliam, Armen"	PF	UNLV
1987	1	3	"Hopson, Dennis"	SF	Ohio State
1987	1	4	"Williams, Reggie"	SF	Georgetown
1987	1	5	"Pippen, Scottie"	SF	Central Arkansas
1987	1	6	Kenny Smith	PG	North Carolina
1987	1	7	Kevin Johnson	PG	California
1987	1	8	"Polynice, Olden"	C	Virginia
1987	1	9	"McKey, Derrick"	SF/PF	Alabama
1987	1	10	Horace Grant	PF/C	Clemson
1987	1	11	Reggie Miller	SG	UCLA
