"","nameurl","games","minutes"
"367","malik-hairston-1","117","3650"
"368","roy-hibbert-1","136","3168"
"369",NA,NA,NA
"370","george-hill-1","95","3163"
"371","steven-hill-1","132","2574"
"372","othello-hunter-1","76","1687"
"373","darnell-jackson-1","125","2075"
"374",NA,NA,NA
"375","dontell-jefferson-1","62","1227"
"376","trey-johnson-1","96","3273"
"377","deandre-jordan-1","35","703"
"378","kosta-koufos-1","37","1002"
"379","rob-kurz-1","108","2516"
"380","courtney-lee-1","127","3962"
"381","brook-lopez-1","53","1484"
"382","robin-lopez-1","67","1628"
"383","kevin-love-1","39","1154"
"384","cartier-martin-1","112","3091"
"385",NA,NA,NA
"386","javale-mcgee-1","66","1234"
"387","anthony-morrow-1","123","2902"
"388","demarcus-nelson-1","124","3248"
"389","greg-oden-1","32","924"
"390","anthony-randolph-1","31","1016"
"391","derrick-rose-1","40","1168"
"392","brandon-rush-1","109","3411"
"393","walter-sharpe-1","40","612"
"394","sean-singletary-1","123","4034"
"395","marreese-speights-1","69","1062"
"396","mike-taylor-1","31","1085"
"397","jason-thompson-1","122","3916"
"398","anthony-tolliver-1","124","2666"
"399","kyle-weaver-1","121","3605"
"400","sonny-weems-1","69","2152"
"401","russell-westbrook-1","75","1642"
"402","jawad-williams-1","128","3456"
"403",NA,NA,NA
"404",NA,NA,NA
"405","antonio-anderson-1","150","4470"
"406",NA,NA,NA
"407","dejuan-blair-1","72","1915"
"408","jon-brockman-1","131","3759"
"409","derrick-brown-1","106","2650"
"410","chase-budinger-1","100","3540"
"411","demarre-carroll-1","134","3283"
"412",NA,NA,NA
"413","earl-clark-1","104","2776"
"414","darren-collison-1","142","4146"
"415","dante-cunningham-1","139","3780"
"416","jameson-curry-1","101","3232"
"417","stephen-curry-1","104","3390"
"418","austin-daye-1","67","1507"
"419","demar-derozan-1","35","1169"
"420","toney-douglas-1","130","4446"
"421","wayne-ellington-1","115","3277"
"422","tyreke-evans-1","37","1073"
"423","jonny-flynn-1","73","2664"
"424","sundiata-gaines-1","123","3899"
"425","alonzo-gee-1","128","3660"
"426","taj-gibson-1","105","3433"
"427","trey-gilder-1","62","1364"
"428","danny-green-1","145","2885"
"429","taylor-griffin-1","129","2876"
"430","tyler-hansbrough-1","142","4387"
"431","james-harden-1","69","2415"
"432","gerald-henderson-1","103","3388"
"433","jordan-hill-1","97","2619"
"434","jrue-holiday-1","35","948"
"435","lester-hudson-1","65","2372"
"436","chris-hunter-1","105","1931"
"437",NA,NA,NA
"438","cedric-jackson-1","125","3600"
"439","othyus-jeffers-1","63","2053"
"440","brandon-jennings-1","52","780"
"441",NA,NA,NA
"442","james-johnson-1","127","4279"
"443","oliver-lafayette-1","64","2201"
"444","marcus-landry-1","121","3025"
"445","ty-lawson-1","105","2835"
"446","wesley-matthews-1","127","3835"
"447","eric-maynor-1","130","3991"
"448","jodie-meeks-1","81","2243"
"449",NA,NA,NA
"450",NA,NA,NA
"451","dajuan-summers-1","101","2787"
"452","jermaine-taylor-1","122","3147"
"453","jeff-teague-1","61","1884"
"454","garrett-temple-1","134","4435"
"455","hasheem-thabeet-1","100","2930"
"456","marcus-thornton-1","66","2158"
"457","reggie-williams-1","138","4029"
"458","terrence-williams-1","140","4508"
"459","sam-young-1","143","3646"
