"","pre_nba_group","MonthSegment","round","mean_gs","size"
"544",10,14,3,3.26938775510204,49
"545",10,15,1,5.2375,16
"546",10,15,2,3.33125,32
"547",10,15,3,2.70625,64
"548",10,16,1,5.01666666666667,12
"549",10,16,2,3.0027027027027,37
"550",10,16,3,3.14651162790698,86
"551",10,17,1,5.22727272727273,11
"552",10,17,2,3.2,43
"553",10,17,3,3.15483870967742,93
"554",10,18,1,4.27391304347826,23
"555",10,18,2,3.73620689655172,58
"556",10,18,3,2.3,108
"557",10,19,1,4.36666666666667,21
"558",10,19,2,4.04651162790698,43
"559",10,19,3,4.13428571428571,105
"560",10,20,1,5.6,15
"561",10,20,2,4.75555555555556,36
"562",10,20,3,3.72328767123288,73
