"X","pre_nba_group","Month","MonthBin","mean_gs","size","type","m","pct_change"
146,6,5,1,2.8,7,"INTL","5-1",-46.7300832342449
147,6,5,2,3.533333333,6,"INTL","5-2",26.1904761785714
148,6,5,3,2.025,4,"INTL","5-3",-42.6886792398763
149,7,10,2,1.1,4,"INTL","10-2",NA
150,7,10,3,3.20625,48,"INTL","10-3",191.477272727273
151,7,11,1,3.686238532,109,"INTL","11-1",14.9704025575049
152,7,11,2,3.258490566,106,"INTL","11-2",-11.6039144587836
153,7,11,3,5.331,100,"INTL","11-3",63.6033584269091
154,7,12,1,4.648275862,116,"INTL","12-1",-12.8066805102232
155,7,12,2,4.152427184,103,"INTL","12-2",-10.6673677019387
156,7,12,3,4.26,115,"INTL","12-3",2.59060089998677
157,7,1,1,4.48627451,102,"INTL","1-1",5.31160821596246
158,7,1,2,5.182882883,111,"INTL","1-2",15.5275467751081
159,7,1,3,5.106870229,131,"INTL","1-3",-1.46660952438891
160,7,2,1,4.955855856,111,"INTL","2-1",-2.95708264021368
161,7,2,2,5.521538462,65,"INTL","2-2",11.4144281520039
162,7,2,3,4.94673913,92,"INTL","2-3",-10.4101300019161
163,7,3,1,5.395726496,117,"INTL","3-1",9.07643104276654
164,7,3,2,4.73984375,128,"INTL","3-2",-12.1555965908617
165,7,3,3,4.636585366,123,"INTL","3-3",-2.17851873281688
166,7,4,1,4.93671875,128,"INTL","4-1",6.47315557265207
167,7,4,2,5.883333333,78,"INTL","4-2",19.1749749365406
168,7,4,3,3.938461538,39,"INTL","4-3",-33.0573109650458
169,7,5,1,2.588888889,18,"INTL","5-1",-34.2664930450312
170,7,5,2,1.458823529,17,"INTL","5-2",-43.6505933028476
171,7,5,3,0.418181818,11,"INTL","5-3",-71.3343108548121
172,7,6,1,2.15,4,"INTL","6-1",414.130435006144
173,7,6,2,1.5,3,"INTL","6-2",-30.2325581395349
174,7,6,3,-1.4,1,"INTL","6-3",-193.333333333333
175,8,10,2,6.766666667,3,"INTL","10-2",NA
176,8,10,3,5.748648649,37,"INTL","10-3",-15.0446012504904
177,8,11,1,4.047663551,107,"INTL","11-1",-29.5893035365084
178,8,11,2,4.720175439,114,"INTL","11-2",16.6148169067523
179,8,11,3,4.288235294,102,"INTL","11-3",-9.15093412484494
180,8,12,1,4.773636364,110,"INTL","12-1",11.3193665160856
181,8,12,2,4.661403509,114,"INTL","12-2",-2.3510977050199
182,8,12,3,4.898425197,127,"INTL","12-3",5.08477087517463
183,8,1,1,5.299193548,124,"INTL","1-1",8.18157540193627
184,8,1,2,5.883760684,117,"INTL","1-2",11.0312471266619
185,8,1,3,5.424817518,137,"INTL","1-3",-7.80016711502266
186,8,2,1,5.271028037,107,"INTL","2-1",-2.83492450187889
187,8,2,2,6.237931034,58,"INTL","2-2",18.3437270720782
188,8,2,3,4.947619048,84,"INTL","2-3",-20.6849351005505
189,8,3,1,5.741129032,124,"INTL","3-1",16.0382191171482
190,8,3,2,5.302884615,104,"INTL","3-2",-7.63341869791301
191,8,3,3,5.650413223,121,"INTL","3-3",6.55357665178993
192,8,4,1,5.947663551,107,"INTL","4-1",5.26068300261726
193,8,4,2,5.917073171,82,"INTL","4-2",-0.514325999406207
194,8,4,3,4.053846154,39,"INTL","4-3",-31.4889974004683
195,8,5,1,3.3,22,"INTL","5-1",-18.5958254300343
196,8,5,2,1.981818182,11,"INTL","5-2",-39.9449035757576
197,8,5,3,-1,1,"INTL","5-3",-150.458715591701
198,9,10,2,1.1,2,NA,"10-2",NA
199,9,10,3,3.461538462,26,NA,"10-3",214.685314727273
200,9,11,1,3.021621622,111,NA,"11-1",-12.7087087094166
201,9,11,2,3.609009009,111,NA,"11-2",19.439475238174
202,9,11,3,4.478899083,109,NA,"11-3",24.1032946116428
203,9,12,1,3.574137931,116,NA,"12-1",-20.2005255138275
204,9,12,2,5.272033898,118,NA,"12-2",47.5050487636035
205,9,12,3,4.267272727,110,NA,"12-3",-19.0583215214372
206,9,1,1,3.479646018,113,NA,"1-1",-18.4573792065482
207,9,1,2,4.518852459,122,NA,"1-2",29.8652919183229
208,9,1,3,4.800724638,138,NA,"1-3",6.23769378525754
209,9,2,1,4.396428571,140,NA,"2-1",-8.42156335732747
210,9,2,2,5.119318182,88,NA,"2-2",16.442655653918
211,9,2,3,4.685454545,110,NA,"2-3",-8.47502775907747
212,9,3,1,4.842465753,146,NA,"3-1",3.35103470734877
213,9,3,2,4.681764706,170,NA,"3-2",-3.31857890580728
214,9,3,3,4.904522613,199,NA,"3-3",4.75799022352663
215,9,4,1,6.373224044,183,NA,"4-1",29.9458590955833
216,9,4,2,5.983098592,142,NA,"4-2",-6.12132021888167
217,9,4,3,3.717857143,28,NA,"4-3",-37.8606739328824
218,9,5,1,3.4625,8,NA,"5-1",-6.86839577687345
219,9,5,2,-1.3,3,NA,"5-2",-137.545126353791
220,9,6,1,-0.4,1,NA,"6-1",-69.2307692307692
221,9,6,2,0.05,4,NA,"6-2",-112.5
222,10,10,2,4.9,4,NA,"10-2",NA
223,10,10,3,4.1,50,NA,"10-3",-16.3265306122449
224,10,11,1,3.747368421,133,NA,"11-1",-8.60077021951219
225,10,11,2,3.285350318,157,NA,"11-2",-12.3291347712406
226,10,11,3,3.601242236,161,NA,"11-3",9.61516695097233
227,10,12,1,3.850675676,148,NA,"12-1",6.92631663336962
228,10,12,2,3.22173913,161,NA,"12-2",-16.3331477101527
229,10,12,3,3.167080745,161,NA,"12-3",-1.69654906230723
230,10,1,1,2.786394558,147,NA,"1-1",-12.0200972962563
231,10,1,2,4.211428571,140,NA,"1-2",51.1425781000251
232,10,1,3,3.667346939,196,NA,"1-3",-12.9191703676648
233,10,2,1,3.566473988,173,NA,"2-1",-2.75057017178489
234,10,2,2,3.765979381,97,NA,"2-2",5.59391134412504
235,10,2,3,3.102439024,123,NA,"2-3",-17.6193305876201
236,10,3,1,3.998675497,151,NA,"3-1",28.888125312596
237,10,3,2,3.286746988,166,NA,"3-2",-17.8041081236555
238,10,3,3,3.547115385,208,NA,"3-3",7.92176574438532
239,10,4,1,4.18125,192,NA,"4-1",17.8774735572917
240,10,4,2,4.392957746,142,NA,"4-2",5.06326447832586
241,10,4,3,3.690625,64,NA,"4-3",-15.9876963678858
242,10,5,1,3.030769231,26,NA,"5-1",-17.8792418357324
243,10,5,2,0.857142857,7,NA,"5-2",-71.718636700123
244,10,5,3,-0.133333333,3,NA,"5-3",-115.555555519259
245,10,6,1,1.45,2,NA,"6-1",-1187.50000271875
