"br_url","Month","Minutes","Points","Rebounds","Assists","Steals","Turnovers","Blocks","First","Last","PlayerIndex","CollegeGames","CollegeMinutes","Pts36","Ast36","Reb36","Stl36","TO36","Blk36","CollegeMPG"
"travis-diener-1",3,6,3,0,0,0,0,0,"Travis","Diener",145,120,3768,18,0,0,0,0,0,31.4
"travis-diener-1",4,16,0,1,0,0,0,0,"Travis","Diener",145,120,3768,0,0,2.25,0,0,0,31.4
"travis-diener-1",12,55,26,2,2,0,3,0,"Travis","Diener",145,120,3768,17.01818181818182,1.309090909090909,1.309090909090909,0,1.9636363636363636,0,31.4
"travis-hansen-1",1,28,2,2,1,0,2,1,"Travis","Hansen",32,86,2356,2.571428571428571,1.2857142857142856,2.571428571428571,0,2.571428571428571,1.2857142857142856,27.3953488372093
"travis-hansen-1",3,101,27,19,3,0,1,2,"Travis","Hansen",32,86,2356,9.623762376237625,1.0693069306930694,6.772277227722772,0,0.3564356435643564,0.7128712871287128,27.3953488372093
"travis-hansen-1",4,164,50,22,8,3,1,3,"Travis","Hansen",32,86,2356,10.97560975609756,1.7560975609756098,4.829268292682928,0.6585365853658536,0.21951219512195122,0.6585365853658536,27.3953488372093
"travis-hansen-1",11,74,19,10,4,4,3,1,"Travis","Hansen",32,86,2356,9.243243243243242,1.945945945945946,4.864864864864865,1.945945945945946,1.4594594594594597,0.4864864864864865,27.3953488372093
"travis-hansen-1",12,141,25,17,3,3,8,2,"Travis","Hansen",32,86,2356,6.382978723404255,0.7659574468085106,4.340425531914893,0.7659574468085106,2.0425531914893615,0.5106382978723404,27.3953488372093
"travis-leslie-1",1,18,6,2,2,1,1,1,"Travis","Leslie",565,90,2349,12,4,4,2,2,2,26.1
"travis-leslie-1",2,18,6,4,2,0,1,1,"Travis","Leslie",565,90,2349,12,4,8,0,2,2,26.1
"travis-leslie-1",3,6,2,1,1,1,0,0,"Travis","Leslie",565,90,2349,12,6,6,6,0,0,26.1
"travis-leslie-1",12,4,0,2,0,0,0,0,"Travis","Leslie",565,90,2349,0,0,18,0,0,0,26.1
"travis-outlaw-1",1,3,0,0,1,0,1,0,"Travis","Outlaw",,,,0,12,0,0,12,0,
"travis-outlaw-1",2,2,1,0,0,0,0,0,"Travis","Outlaw",,,,18,0,0,0,0,0,
"travis-outlaw-1",4,8,4,2,0,1,0,0,"Travis","Outlaw",,,,18,0,9,4.5,0,0,
"travis-outlaw-1",11,3,1,1,0,0,0,0,"Travis","Outlaw",,,,12,0,12,0,0,0,
"travis-outlaw-1",12,3,2,1,0,0,0,0,"Travis","Outlaw",,,,24,0,12,0,0,0,
"travis-wear-1",1,179,71,29,12,6,13,3,"Travis","Wear",824.9999999999999,128,2840.999999999999,14.279329608938548,2.4134078212290504,5.832402234636872,1.2067039106145252,2.6145251396648046,0.6033519553072626,22.195312499999993
"travis-wear-1",2,44,14,11,3,3,2,3,"Travis","Wear",825,128,2841,11.454545454545455,2.454545454545454,9,2.454545454545454,1.6363636363636365,2.454545454545454,22.1953125
"travis-wear-1",3,158,33,30,9,3,6,2,"Travis","Wear",824.9999999999999,128,2840.999999999999,7.518987341772152,2.050632911392405,6.835443037974684,0.6835443037974683,1.3670886075949367,0.45569620253164556,22.195312499999993
"travis-wear-1",10,19,4,2,2,0,3,0,"Travis","Wear",825,128,2841,7.578947368421052,3.789473684210526,3.789473684210526,0,5.684210526315789,0,22.1953125
"travis-wear-1",11,132,41,19,10,1,6,1,"Travis","Wear",824.9999999999999,128,2840.999999999999,11.181818181818182,2.7272727272727275,5.1818181818181825,0.2727272727272727,1.6363636363636365,0.2727272727272727,22.195312499999993
"travis-wear-1",12,136,36,15,4,2,5,2,"Travis","Wear",824.9999999999999,128,2840.999999999999,9.529411764705882,1.0588235294117647,3.9705882352941178,0.5294117647058824,1.3235294117647058,0.5294117647058824,22.195312499999993
"treveon-graham-1",1,32,2,5,2,1,1,0,"Treveon","Graham",924.9999999999999,140,3556,2.25,2.25,5.625,1.125,1.125,0,25.4
"treveon-graham-1",2,21,5,3,0,1,0,0,"Treveon","Graham",925,140,3556,8.571428571428571,0,5.142857142857142,1.7142857142857142,0,0,25.4
"treveon-graham-1",3,29,6,1,0,0,0,1,"Treveon","Graham",925,140,3556,7.448275862068965,0,1.2413793103448276,0,0,1.2413793103448276,25.4
"treveon-graham-1",4,47,25,6,1,4,1,0,"Treveon","Graham",925,140,3556,19.148936170212764,0.7659574468085106,4.595744680851063,3.0638297872340425,0.7659574468085106,0,25.4
"treveon-graham-1",11,47,11,6,2,0,1,0,"Treveon","Graham",925,140,3556,8.425531914893618,1.5319148936170213,4.595744680851063,0,0.7659574468085106,0,25.4
"treveon-graham-1",12,11,8,1,1,0,0,0,"Treveon","Graham",925,140,3556,26.181818181818183,3.272727272727273,3.272727272727273,0,0,0,25.4
"trevon-duval-1",2,5,5,1,2,0,0,0,"Trevon","Duval",1121,37,1102,36,14.4,7.2,0,0,0,29.783783783783782
"trevor-ariza-1",1,345,120,48,18,14,20,6,"Trevor","Ariza",68,25,790,12.521739130434781,1.8782608695652172,5.008695652173913,1.4608695652173913,2.0869565217391304,0.6260869565217392,31.6
"trevor-ariza-1",2,273,107,47,11,13,13,6,"Trevor","Ariza",68,25,790,14.10989010989011,1.4505494505494507,6.197802197802198,1.7142857142857142,1.7142857142857142,0.7912087912087913,31.6
"trevor-ariza-1",3,201,69,37,5,9,11,3,"Trevor","Ariza",68,25,790,12.35820895522388,0.8955223880597015,6.626865671641791,1.6119402985074627,1.9701492537313432,0.5373134328358209,31.6
"trevor-ariza-1",4,170,54,40,10,11,7,0,"Trevor","Ariza",68,25,790,11.435294117647057,2.1176470588235294,8.470588235294118,2.3294117647058825,1.4823529411764707,0,31.6
"trevor-ariza-1",11,187,66,33,18,12,10,0,"Trevor","Ariza",68,25,790,12.705882352941178,3.4652406417112296,6.352941176470589,2.310160427807487,1.9251336898395721,0,31.6
"trevor-ariza-1",12,207,52,37,23,11,12,3,"Trevor","Ariza",68,25,790,9.043478260869566,4,6.434782608695651,1.9130434782608696,2.0869565217391304,0.5217391304347826,31.6
