"","pre_nba_group","pre_nba_group_str","MonthStr","MonthSegment","MonthBin","round","cbb_minutes","cbb_games","intl_game","intl_minutes","mean_gs","mean_gs_per_36","size","bin_date","draft_round","text"
"35",1,"1 (NCAA)","1 (Oct)",3,3,2,672,31,0,0,0.9,4.628571429,1,"21st-end of month","2nd round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 4.63"
"36",1,"1 (NCAA)","1 (Oct)",3,3,2,680,26,0,0,2,9,1,"21st-end of month","2nd round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 9"
"37",1,"1 (NCAA)","1 (Oct)",3,3,2,808,35,0,0,0.3,5.4,1,"21st-end of month","2nd round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 5.4"
"38",1,"1 (NCAA)","1 (Oct)",3,3,2,1085,31,0,0,3.4,10.2,1,"21st-end of month","2nd round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 10.2"
"39",1,"1 (NCAA)","1 (Oct)",3,3,3,0,5,0,0,3.6,8.64,1,"21st-end of month","Undrafted","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: Undrafted
Size: 1
Avg. Game Score: 8.64"
"40",1,"1 (NCAA)","2 (Nov)",4,1,1,7,6,0,0,5.95,8.147368421,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 8.15"
"41",1,"1 (NCAA)","2 (Nov)",4,1,1,30,4,0,0,3.45,6.225,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 6.22"
"42",1,"1 (NCAA)","2 (Nov)",4,1,1,742,23,0,0,1.3,6.02352941166667,3,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 6.02"
"43",1,"1 (NCAA)","2 (Nov)",4,1,1,748,32,0,0,2,8,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 8"
"44",1,"1 (NCAA)","2 (Nov)",4,1,1,754,34,0,0,5.2,9.82,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 9.82"
"45",1,"1 (NCAA)","2 (Nov)",4,1,1,765,24,0,0,2.8,5.929411765,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 5.93"
"46",1,"1 (NCAA)","2 (Nov)",4,1,1,838,32,0,0,4.45,6.115270936,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 6.12"
"47",1,"1 (NCAA)","2 (Nov)",4,1,1,846,34,0,0,3,6.075,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 6.08"
"48",1,"1 (NCAA)","2 (Nov)",4,1,1,889,31,0,0,5.06666666666667,6.72330434766667,3,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 6.72"
"49",1,"1 (NCAA)","2 (Nov)",4,1,1,890,31,0,0,1.3,11.7,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 11.7"
"50",1,"1 (NCAA)","2 (Nov)",4,1,1,906,30,0,0,6.5,11.14285714,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 11.14"
"51",1,"1 (NCAA)","2 (Nov)",4,1,1,917,31,0,0,3.6,11.78181818,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 11.78"
"52",1,"1 (NCAA)","2 (Nov)",4,1,1,938,34,0,0,2.1,5.967857143,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 5.97"
"53",1,"1 (NCAA)","2 (Nov)",4,1,1,948,35,0,0,1.4,3.876923077,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 3.88"
"54",1,"1 (NCAA)","2 (Nov)",4,1,1,961,31,0,0,5.2,6.84459535933333,3,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 6.84"
"55",1,"1 (NCAA)","2 (Nov)",4,1,1,965,29,0,0,7.4,8.7387096775,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 8.74"
"56",1,"1 (NCAA)","2 (Nov)",4,1,1,965,34,0,0,4.5,7.363636364,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 7.36"
"57",1,"1 (NCAA)","2 (Nov)",4,1,1,986,33,0,0,5.15,5.8422857145,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 5.84"
"58",1,"1 (NCAA)","2 (Nov)",4,1,1,1001,32,0,0,2.9,10.44,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 10.44"
