"","pre_nba_group","Month","MonthBin","round","mean_gs","size"
"316",6,4,2,3,4.12307692307692,13
"317",6,10,2,2,-0.05,2
"318",6,10,2,3,1.25,2
"319",6,10,3,1,1.79090909090909,11
"320",6,10,3,2,4.34285714285714,7
"321",6,10,3,3,1.46666666666667,6
"322",6,11,1,1,2.26216216216216,37
"323",6,11,1,2,2.67333333333333,15
"324",6,11,1,3,6.15555555555556,9
"325",6,11,2,1,2.92777777777778,36
"326",6,11,2,2,2.56666666666667,12
"327",6,11,2,3,8.5,4
"328",6,11,3,1,2.1,43
"329",6,11,3,2,2.62142857142857,14
"330",6,11,3,3,5.17272727272727,11
"331",6,12,1,1,2.79512195121951,41
"332",6,12,1,2,3.37647058823529,17
"333",6,12,1,3,4.92857142857143,7
"334",6,12,2,1,3.5741935483871,31
"335",6,12,2,2,3.73846153846154,13
"336",6,12,2,3,4.6,8
"337",6,12,3,1,3.29259259259259,27
"338",6,12,3,2,4.32,10
"339",6,12,3,3,6.16666666666667,6
"340",7,1,1,1,4.14255319148936,47
"341",7,1,1,2,4.43636363636364,33
"342",7,1,1,3,3.31666666666667,18
"343",7,1,2,1,4.47843137254902,51
"344",7,1,2,2,5.58108108108108,37
"345",7,1,2,3,4.42222222222222,18
"346",7,1,3,1,4.84827586206897,58
"347",7,1,3,2,6.159375,32
"348",7,1,3,3,5.47142857142857,35
"349",7,2,1,1,4.18297872340426,47
"350",7,2,1,2,6.18484848484848,33
"351",7,2,1,3,3.71363636363636,22
"352",7,2,2,1,4.91818181818182,33
"353",7,2,2,2,6.83125,16
"354",7,2,2,3,3.28333333333333,12
"355",7,2,3,1,5.73333333333333,36
"356",7,2,3,2,4.025,28
"357",7,2,3,3,2.04444444444444,18
"358",7,3,1,1,5.82888888888889,45
"359",7,3,1,2,5.13055555555556,36
"360",7,3,1,3,3.24782608695652,23
"361",7,3,2,1,4.67735849056604,53
"362",7,3,2,2,4.81,40
"363",7,3,2,3,2.06875,16
"364",7,3,3,1,4.28297872340426,47
"365",7,3,3,2,3.40769230769231,39
"366",7,3,3,3,3.76785714285714,28
"367",7,4,1,1,4.87111111111111,45
"368",7,4,1,2,5.68,50
"369",7,4,1,3,5.67142857142857,21
"370",7,4,2,1,4.59285714285714,28
"371",7,4,2,2,5.35,30
"372",7,4,2,3,3.88571428571429,14
"373",7,10,2,1,-0.5,1
"374",7,10,2,2,0,1
"375",7,10,2,3,2.45,2
"376",7,10,3,1,4.08571428571429,14
"377",7,10,3,2,3.18823529411765,17
"378",7,10,3,3,3.7,14
"379",7,11,1,1,4.52093023255814,43
"380",7,11,1,2,2.98064516129032,31
"381",7,11,1,3,2.84,25
"382",7,11,2,1,4.31428571428571,42
"383",7,11,2,2,4.0037037037037,27
"384",7,11,2,3,1.72692307692308,26
"385",7,11,3,1,5.23555555555556,45
"386",7,11,3,2,5.69333333333333,30
"387",7,11,3,3,4.525,20
"388",7,12,1,1,4.43488372093023,43
"389",7,12,1,2,4.71818181818182,33
"390",7,12,1,3,3.67037037037037,27
"391",7,12,2,1,4.26923076923077,39
"392",7,12,2,2,4.36666666666667,39
"393",7,12,2,3,3.07,20
"394",7,12,3,1,3.6936170212766,47
"395",7,12,3,2,4.82285714285714,35
"396",7,12,3,3,4.25909090909091,22
"397",8,1,1,1,7.125,36
"398",8,1,1,2,4.03333333333333,33
"399",8,1,1,3,4.80425531914894,47
"400",8,1,2,1,4.56785714285714,28
"401",8,1,2,2,5.71111111111111,27
"402",8,1,2,3,4.74358974358974,39
"403",8,1,3,1,4.15862068965517,29
"404",8,1,3,2,4.15142857142857,35
"405",8,1,3,3,4.98245614035088,57
"406",8,2,1,1,5.61875,32
"407",8,2,1,2,5.19642857142857,28
"408",8,2,1,3,3.90526315789474,38
"409",8,2,2,1,8.46666666666667,21
"410",8,2,2,2,4.41538461538462,13
"411",8,2,2,3,4.86,20
"412",8,2,3,1,4.87058823529412,17
"413",8,2,3,2,4.71176470588235,17
"414",8,2,3,3,4.14878048780488,41
"415",8,3,1,1,5.74666666666667,30
"416",8,3,1,2,4.65454545454545,22
"417",8,3,1,3,4.69827586206897,58
"418",8,3,2,1,4.6,20
"419",8,3,2,2,3.35294117647059,17
"420",8,3,2,3,4.65090909090909,55
"421",8,3,3,1,4.54117647058824,34
"422",8,3,3,2,5.98,15
"423",8,3,3,3,4.55423728813559,59
"424",8,4,1,1,5.25,32
"425",8,4,1,2,6.05555555555556,18
"426",8,4,1,3,4.78888888888889,45
"427",8,4,2,1,5.276,25
"428",8,4,2,2,6.45833333333333,12
"429",8,4,2,3,5.51142857142857,35
"430",8,10,2,1,0.8,1
"431",8,10,2,3,2.9,1
"432",8,10,3,1,7.61666666666667,12
"433",8,10,3,2,4.1,12
"434",8,10,3,3,2.01111111111111,9
"435",8,11,1,1,5.365625,32
"436",8,11,1,2,3.3,29
"437",8,11,1,3,3.06153846153846,39
"438",8,11,2,1,3.83,30
"439",8,11,2,2,4.79411764705882,34
"440",8,11,2,3,4.18780487804878,41
"441",8,11,3,1,5.41153846153846,26
"442",8,11,3,2,4.76086956521739,23
"443",8,11,3,3,3.84210526315789,38
"444",8,12,1,1,6.00625,32
"445",8,12,1,2,3.821875,32
"446",8,12,1,3,4.5953488372093,43
"447",8,12,2,1,4.39090909090909,22
"448",8,12,2,2,3.81724137931034,29
"449",8,12,2,3,3.87391304347826,46
"450",8,12,3,1,7.06774193548387,31
"451",8,12,3,2,3.09666666666667,30
"452",8,12,3,3,4.31666666666667,54
"453",9,1,1,1,4.2625,64
"454",9,1,1,2,2.68571428571429,21
"455",9,1,1,3,3.34117647058824,17
"456",9,1,2,1,4.1,55
"457",9,1,2,2,2.89142857142857,35
"458",9,1,2,3,3.94761904761905,21
"459",9,1,3,1,4.06153846153846,65
"460",9,1,3,2,6.471875,32
"461",9,1,3,3,3.42,25
"462",9,2,1,1,3.48983050847458,59
"463",9,2,1,2,4.88108108108108,37
"464",9,2,1,3,2.35555555555556,27
"465",9,2,2,1,4.46,45
"466",9,2,2,2,4.84117647058823,17
"467",9,2,2,3,5.65,16
"468",9,2,3,1,3.97450980392157,51
"469",9,2,3,2,5.21111111111111,18
"470",9,2,3,3,3.75652173913043,23
"471",9,3,1,1,3.63428571428571,70
"472",9,3,1,2,5.85357142857143,28
"473",9,3,1,3,2.60322580645161,31
"474",9,3,2,1,4.4453488372093,86
"475",9,3,2,2,4.73055555555556,36
"476",9,3,2,3,3.390625,32
"477",9,3,3,1,4.0625,88
"478",9,3,3,2,4.26888888888889,45
"479",9,3,3,3,5.2030303030303,33
"480",9,4,1,1,6.06623376623377,77
"481",9,4,1,2,6.05526315789474,38
"482",9,4,1,3,3.68372093023256,43
"483",9,4,2,1,6.54923076923077,65
"484",9,4,2,2,4.89583333333333,24
"485",9,4,2,3,4.14333333333333,30
